match_id,competition,season,matchday,utc_date,home_team,away_team,model_version,created_at,p_home,p_draw,p_away,pick_1x2,p_over25,pick_ou,pred_home_goals,pred_away_goals,status,home_goals,away_goals,actual_1x2,correct_1x2,actual_ou,correct_ou,correct_score,brier_1x2,logloss_1x2,rps_1x2
559715,FL1,2026,1,2026-08-21T18:45:00Z,Olympique de Marseille,RC Strasbourg Alsace,elo-v1,2026-08-16T15:53:09.115945+00:00,0.5065546047116142,0.19426984066471883,0.29917555462366696,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
560542,PL,2026,1,2026-08-21T19:00:00Z,Arsenal FC,Coventry City FC,dc-v1,2026-08-16T16:10:10.951727+00:00,0.6018490501868825,0.2754893212707739,0.12266162854234357,H,0.39819197626146224,U,1,0,TIMED,,,,,,,,,,
560542,PL,2026,1,2026-08-21T19:00:00Z,Arsenal FC,Coventry City FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.6872462901884858,0.1344065529768491,0.1783471568346651,H,0.55,O,1,1,TIMED,,,,,,,,,,
564647,PD,2026,2,2026-08-21T19:00:00Z,Real Betis Balompié,Real Sociedad de Fútbol,dc-v1,2026-08-16T14:24:23.628864+00:00,0.6022077774462395,0.19201585246785174,0.2057763700859087,H,0.6917744962776124,O,2,1,TIMED,,,,,,,,,,
564647,PD,2026,2,2026-08-21T19:00:00Z,Real Betis Balompié,Real Sociedad de Fútbol,elo-v1,2026-08-16T14:24:23.643273+00:00,0.6042666527238425,0.15496084756497958,0.24077249971117792,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
560543,PL,2026,1,2026-08-22T11:30:00Z,Hull City AFC,Manchester United FC,dc-v1,2026-08-16T16:10:10.951727+00:00,0.34679236205506614,0.29643957098788504,0.3567680669570488,A,0.5138803252099807,O,1,1,TIMED,,,,,,,,,,
560543,PL,2026,1,2026-08-22T11:30:00Z,Hull City AFC,Manchester United FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.33378008407734305,0.25154441118872234,0.4146755047339346,A,0.55,O,1,1,TIMED,,,,,,,,,,
560544,PL,2026,1,2026-08-22T14:00:00Z,Ipswich Town FC,Sunderland AFC,dc-v1,2026-08-16T16:10:10.951727+00:00,0.485236945912927,0.3121343103602202,0.2026287437268526,H,0.39425945637590837,U,1,1,TIMED,,,,,,,,,,
560544,PL,2026,1,2026-08-22T14:00:00Z,Ipswich Town FC,Sunderland AFC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.4676858779442016,0.22876309377604562,0.3035510282797528,H,0.55,O,1,1,TIMED,,,,,,,,,,
560545,PL,2026,1,2026-08-22T14:00:00Z,Nottingham Forest FC,Leeds United FC,dc-v1,2026-08-16T14:24:24.071941+00:00,0.46115483600422125,0.2924709622189385,0.24637420177684038,H,0.4932847653974085,U,1,1,TIMED,,,,,,,,,,
560545,PL,2026,1,2026-08-22T14:00:00Z,Nottingham Forest FC,Leeds United FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.44833142461386855,0.23708071008329623,0.3145878653028353,H,0.55,O,1,1,TIMED,,,,,,,,,,
560546,PL,2026,1,2026-08-22T14:00:00Z,Everton FC,Crystal Palace FC,dc-v1,2026-08-16T14:24:24.071941+00:00,0.4663133955427573,0.3042276626536649,0.2294589418035777,H,0.4415350549946914,U,1,1,TIMED,,,,,,,,,,
560546,PL,2026,1,2026-08-22T14:00:00Z,Everton FC,Crystal Palace FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.5065066910560723,0.21207976913292761,0.28141353981100015,H,0.55,O,1,1,TIMED,,,,,,,,,,
564641,PD,2026,2,2026-08-22T15:00:00Z,Athletic Club,Sevilla FC,dc-v1,2026-08-16T14:24:23.628864+00:00,0.47404280711405333,0.2454654361471112,0.28049175673883553,H,0.5147292037155066,O,1,1,TIMED,,,,,,,,,,
564641,PD,2026,2,2026-08-22T15:00:00Z,Athletic Club,Sevilla FC,elo-v1,2026-08-16T14:24:23.643273+00:00,0.4713710696150075,0.20699996010864974,0.3216289702763428,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
559712,FL1,2026,1,2026-08-22T15:15:00Z,Racing Club de Lens,AJ Auxerre,dc-v1,2026-08-16T15:53:09.105118+00:00,0.6257605588351405,0.23177204234924303,0.14246739881561654,H,0.5077030637200962,O,2,0,TIMED,,,,,,,,,,
559712,FL1,2026,1,2026-08-22T15:15:00Z,Racing Club de Lens,AJ Auxerre,elo-v1,2026-08-16T15:53:09.115945+00:00,0.6755082370465838,0.1277526625800851,0.1967391003733311,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
558629,SA,2026,1,2026-08-22T16:30:00Z,Udinese Calcio,Como 1907,dc-v1,2026-08-16T14:24:24.733591+00:00,0.19711849934522882,0.24509409875066945,0.5577874019041018,A,0.433598369915094,U,0,1,TIMED,,,,,,,,,,
558629,SA,2026,1,2026-08-22T16:30:00Z,Udinese Calcio,Como 1907,elo-v1,2026-08-16T14:24:24.745714+00:00,0.3341315179111838,0.23543786671321842,0.4304306153755978,A,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
558632,SA,2026,1,2026-08-22T16:30:00Z,FC Internazionale Milano,AC Monza,dc-v1,2026-08-16T16:10:11.651068+00:00,0.679010003609166,0.1810765884862098,0.13991340790462403,H,0.6087841028088775,O,2,0,TIMED,,,,,,,,,,
558632,SA,2026,1,2026-08-22T16:30:00Z,FC Internazionale Milano,AC Monza,elo-v1,2026-08-16T14:24:24.745714+00:00,0.7067156796080292,0.12123234955659756,0.17205197083537327,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
560547,PL,2026,1,2026-08-22T16:30:00Z,Brentford FC,Tottenham Hotspur FC,dc-v1,2026-08-16T14:24:24.071941+00:00,0.5221767877945883,0.27039360800018064,0.20742960420523104,H,0.5368739551492353,O,1,1,TIMED,,,,,,,,,,
560547,PL,2026,1,2026-08-22T16:30:00Z,Brentford FC,Tottenham Hotspur FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.5821126726557407,0.1795879423297643,0.23829938501449496,H,0.55,O,1,1,TIMED,,,,,,,,,,
564643,PD,2026,2,2026-08-22T17:30:00Z,Valencia CF,RC Celta de Vigo,dc-v1,2026-08-16T14:24:23.628864+00:00,0.4310298248028507,0.25476651915576787,0.31420365604138134,H,0.4915407380245414,U,1,1,TIMED,,,,,,,,,,
564643,PD,2026,2,2026-08-22T17:30:00Z,Valencia CF,RC Celta de Vigo,elo-v1,2026-08-16T14:24:23.643273+00:00,0.4813145948156623,0.20310628497744593,0.31557912020689177,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
558631,SA,2026,1,2026-08-22T18:45:00Z,Genoa CFC,SSC Napoli,dc-v1,2026-08-16T14:24:24.733591+00:00,0.22587737841293115,0.2539187288962621,0.5202038926908068,A,0.43052424722245386,U,0,1,TIMED,,,,,,,,,,
558631,SA,2026,1,2026-08-22T18:45:00Z,Genoa CFC,SSC Napoli,elo-v1,2026-08-16T14:24:24.745714+00:00,0.30752347434391986,0.21668913850568017,0.4757873871503999,A,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
558636,SA,2026,1,2026-08-22T18:45:00Z,Parma Calcio 1913,Cagliari Calcio,dc-v1,2026-08-16T14:24:24.733591+00:00,0.3262899556409529,0.3145460961786051,0.35916394818044195,A,0.2868534921561095,U,0,1,TIMED,,,,,,,,,,
558636,SA,2026,1,2026-08-22T18:45:00Z,Parma Calcio 1913,Cagliari Calcio,elo-v1,2026-08-16T14:24:24.745714+00:00,0.5106372185454575,0.20228357145720124,0.28707920999734127,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
559711,FL1,2026,1,2026-08-22T18:45:00Z,Le Mans FC,Stade Brestois 29,dc-v1,2026-08-16T16:10:12.352354+00:00,0.5513404566750191,0.25755530672465676,0.19110423660032433,H,0.48754218926444254,U,1,1,TIMED,,,,,,,,,,
559711,FL1,2026,1,2026-08-22T18:45:00Z,Le Mans FC,Stade Brestois 29,elo-v1,2026-08-16T15:53:09.115945+00:00,0.5579761120424673,0.1740251527391861,0.2679987352183466,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
559714,FL1,2026,1,2026-08-22T18:45:00Z,ES Troyes AC,Paris FC,dc-v1,2026-08-16T16:10:12.352354+00:00,0.4437266118355543,0.2854982790459208,0.2707751091185248,H,0.45546376160496654,U,1,1,TIMED,,,,,,,,,,
559714,FL1,2026,1,2026-08-22T18:45:00Z,ES Troyes AC,Paris FC,elo-v1,2026-08-16T15:53:09.115945+00:00,0.47490794432920885,0.20672915577590203,0.3183628998948892,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
559716,FL1,2026,1,2026-08-22T18:45:00Z,OGC Nice,FC Lorient,dc-v1,2026-08-16T15:53:09.105118+00:00,0.26678792662103873,0.2695917084449797,0.4636203649339815,A,0.5122199177848425,O,1,1,TIMED,,,,,,,,,,
559716,FL1,2026,1,2026-08-22T18:45:00Z,OGC Nice,FC Lorient,elo-v1,2026-08-16T15:53:09.115945+00:00,0.3821216569234881,0.2432591901876031,0.3746191528889088,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
559718,FL1,2026,1,2026-08-22T18:45:00Z,Toulouse FC,Olympique Lyonnais,dc-v1,2026-08-16T15:53:09.105118+00:00,0.34829238384372063,0.2776001220695023,0.3741074940867768,A,0.5091298426544029,O,1,1,TIMED,,,,,,,,,,
559718,FL1,2026,1,2026-08-22T18:45:00Z,Toulouse FC,Olympique Lyonnais,elo-v1,2026-08-16T15:53:09.115945+00:00,0.4076269975872171,0.2332177174853476,0.3591552849274353,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
564645,PD,2026,2,2026-08-22T19:30:00Z,RCD Espanyol de Barcelona,Real Madrid CF,dc-v1,2026-08-16T14:24:23.628864+00:00,0.20066995415390756,0.23535293481912029,0.5639771110269722,A,0.4830945168237531,U,0,1,TIMED,,,,,,,,,,
564645,PD,2026,2,2026-08-22T19:30:00Z,RCD Espanyol de Barcelona,Real Madrid CF,elo-v1,2026-08-16T14:24:23.643273+00:00,0.2719368792446118,0.17501819909860827,0.55304492165678,A,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
559717,FL1,2026,1,2026-08-23T13:00:00Z,Angers SCO,Lille OSC,dc-v1,2026-08-16T15:53:09.105118+00:00,0.17444439440825016,0.31159185791991856,0.5139637476718313,A,0.3046995830398118,U,0,1,TIMED,,,,,,,,,,
559717,FL1,2026,1,2026-08-23T13:00:00Z,Angers SCO,Lille OSC,elo-v1,2026-08-16T15:53:09.115945+00:00,0.31789517588049226,0.20642543888343654,0.47567938523607123,A,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
560548,PL,2026,1,2026-08-23T13:00:00Z,Manchester City FC,AFC Bournemouth,dc-v1,2026-08-16T14:24:24.071941+00:00,0.6263907274468214,0.23030041692981476,0.1433088556233636,H,0.5899763243788156,O,1,1,TIMED,,,,,,,,,,
560548,PL,2026,1,2026-08-23T13:00:00Z,Manchester City FC,AFC Bournemouth,elo-v1,2026-08-16T14:24:24.084276+00:00,0.5745832683396924,0.18282371939120656,0.24259301226910102,H,0.55,O,1,1,TIMED,,,,,,,,,,
560549,PL,2026,1,2026-08-23T13:00:00Z,Brighton & Hove Albion FC,Aston Villa FC,dc-v1,2026-08-16T14:24:24.071941+00:00,0.41177830515301916,0.3007543343258503,0.28746736052113053,H,0.4861675422582524,U,1,1,TIMED,,,,,,,,,,
560549,PL,2026,1,2026-08-23T13:00:00Z,Brighton & Hove Albion FC,Aston Villa FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.4112139407586718,0.2530320254590832,0.335754033782245,H,0.55,O,1,1,TIMED,,,,,,,,,,
564646,PD,2026,2,2026-08-23T15:00:00Z,Club Atlético de Madrid,Villarreal CF,dc-v1,2026-08-16T14:24:23.628864+00:00,0.4624135797058854,0.22493703853729724,0.31264938175681745,H,0.6304731544708915,O,1,1,TIMED,,,,,,,,,,
564646,PD,2026,2,2026-08-23T15:00:00Z,Club Atlético de Madrid,Villarreal CF,elo-v1,2026-08-16T14:24:23.643273+00:00,0.46912415150998554,0.20787980593503724,0.3229960425549772,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
559719,FL1,2026,1,2026-08-23T15:15:00Z,Le Havre AC,AS Monaco FC,dc-v1,2026-08-16T15:53:09.105118+00:00,0.30599965312623917,0.2759482940883653,0.4180520527853956,A,0.5066668866941169,O,1,1,TIMED,,,,,,,,,,
559719,FL1,2026,1,2026-08-23T15:15:00Z,Le Havre AC,AS Monaco FC,elo-v1,2026-08-16T15:53:09.115945+00:00,0.37493929660890624,0.24346707572006898,0.3815936276710248,A,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
560550,PL,2026,1,2026-08-23T15:30:00Z,Newcastle United FC,Liverpool FC,dc-v1,2026-08-16T14:24:24.071941+00:00,0.3684502174790428,0.2649815754054666,0.36656820711549065,H,0.6340305591192396,O,1,1,TIMED,,,,,,,,,,
560550,PL,2026,1,2026-08-23T15:30:00Z,Newcastle United FC,Liverpool FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.4043106629571195,0.255998723357271,0.33969061368560954,H,0.55,O,1,1,TIMED,,,,,,,,,,
558635,SA,2026,1,2026-08-23T16:30:00Z,Frosinone Calcio,Juventus FC,dc-v1,2026-08-16T16:10:11.651068+00:00,0.2554804576492125,0.2710840897893459,0.4734354525614416,A,0.39273080260812265,U,0,1,TIMED,,,,,,,,,,
558635,SA,2026,1,2026-08-23T16:30:00Z,Frosinone Calcio,Juventus FC,elo-v1,2026-08-16T14:24:24.745714+00:00,0.36230357415731707,0.2552886394418105,0.3824077864008724,A,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
558637,SA,2026,1,2026-08-23T16:30:00Z,Venezia FC,US Lecce,dc-v1,2026-08-16T16:10:11.651068+00:00,0.5084498406270737,0.29013823071190353,0.201411928661023,H,0.30344992111255736,U,1,0,TIMED,,,,,,,,,,
558637,SA,2026,1,2026-08-23T16:30:00Z,Venezia FC,US Lecce,elo-v1,2026-08-16T14:24:24.745714+00:00,0.5736378091639168,0.17624157366501975,0.25012061717106343,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
564644,PD,2026,2,2026-08-23T17:30:00Z,Getafe CF,Real Racing Club de Santander,dc-v1,2026-08-16T16:10:10.516478+00:00,0.343786948622138,0.33994159388966794,0.3162714574881941,H,0.23378289996491564,U,0,0,TIMED,,,,,,,,,,
564644,PD,2026,2,2026-08-23T17:30:00Z,Getafe CF,Real Racing Club de Santander,elo-v1,2026-08-16T14:24:23.643273+00:00,0.46490088309761934,0.2095335489344059,0.32556556796797476,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
558633,SA,2026,1,2026-08-23T18:45:00Z,Atalanta BC,US Sassuolo Calcio,dc-v1,2026-08-16T14:24:24.733591+00:00,0.5233054876241163,0.25130160070764956,0.22539291166823414,H,0.43959342604677315,U,1,0,TIMED,,,,,,,,,,
558633,SA,2026,1,2026-08-23T18:45:00Z,Atalanta BC,US Sassuolo Calcio,elo-v1,2026-08-16T14:24:24.745714+00:00,0.5841718209008497,0.17188722225810385,0.2439409568410464,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
558634,SA,2026,1,2026-08-23T18:45:00Z,Torino FC,AC Milan,dc-v1,2026-08-16T14:24:24.733591+00:00,0.24063133006645104,0.2353225537813095,0.5240461161522395,A,0.5176443840624321,O,1,1,TIMED,,,,,,,,,,
558634,SA,2026,1,2026-08-23T18:45:00Z,Torino FC,AC Milan,elo-v1,2026-08-16T14:24:24.745714+00:00,0.35010867530325274,0.24669579256243426,0.40319553213431303,A,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
559713,FL1,2026,1,2026-08-23T18:45:00Z,Paris Saint-Germain FC,Stade Rennais FC 1901,dc-v1,2026-08-16T15:53:09.105118+00:00,0.6864923428582439,0.18396490923232647,0.12954274790942957,H,0.6755615691498069,O,2,1,TIMED,,,,,,,,,,
559713,FL1,2026,1,2026-08-23T18:45:00Z,Paris Saint-Germain FC,Stade Rennais FC 1901,elo-v1,2026-08-16T15:53:09.115945+00:00,0.5842475506584565,0.163682066669899,0.2520703826716445,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
564642,PD,2026,2,2026-08-23T19:30:00Z,Elche CF,FC Barcelona,dc-v1,2026-08-16T14:24:23.628864+00:00,0.17922182217187888,0.19438844704454397,0.6263897307835768,A,0.6344610644561253,O,1,2,TIMED,,,,,,,,,,
564642,PD,2026,2,2026-08-23T19:30:00Z,Elche CF,FC Barcelona,elo-v1,2026-08-16T14:24:23.643273+00:00,0.2496080816949356,0.1606474159005468,0.5897445024045177,A,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
558630,SA,2026,1,2026-08-24T16:30:00Z,Bologna FC 1909,SS Lazio,dc-v1,2026-08-16T14:24:24.733591+00:00,0.40311418920137443,0.27781121416692,0.31907459663170556,H,0.39529098407499996,U,1,0,TIMED,,,,,,,,,,
558630,SA,2026,1,2026-08-24T16:30:00Z,Bologna FC 1909,SS Lazio,elo-v1,2026-08-16T14:24:24.745714+00:00,0.479410014528576,0.2151916850174153,0.3053983004540087,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
564639,PD,2026,2,2026-08-24T17:30:00Z,CA Osasuna,Levante UD,dc-v1,2026-08-16T14:24:23.628864+00:00,0.49738190866605103,0.2463889104696355,0.2562291808643134,H,0.49373157389781525,U,1,1,TIMED,,,,,,,,,,
564639,PD,2026,2,2026-08-24T17:30:00Z,CA Osasuna,Levante UD,elo-v1,2026-08-16T14:24:23.643273+00:00,0.4428711595137611,0.21815992490619043,0.33896891558004855,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
558638,SA,2026,1,2026-08-24T18:45:00Z,AS Roma,ACF Fiorentina,dc-v1,2026-08-16T14:24:24.733591+00:00,0.6197756723192049,0.22229252231048305,0.15793180537031198,H,0.46465567233556604,U,1,0,TIMED,,,,,,,,,,
558638,SA,2026,1,2026-08-24T18:45:00Z,AS Roma,ACF Fiorentina,elo-v1,2026-08-16T14:24:24.745714+00:00,0.6347581300725246,0.15097680635833013,0.2142650635691453,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
560551,PL,2026,1,2026-08-24T19:00:00Z,Fulham FC,Chelsea FC,dc-v1,2026-08-16T14:24:24.071941+00:00,0.3948730736402219,0.3072496506959874,0.2978772756637907,H,0.46700017285545886,U,1,1,TIMED,,,,,,,,,,
560551,PL,2026,1,2026-08-24T19:00:00Z,Fulham FC,Chelsea FC,elo-v1,2026-08-16T14:24:24.084276+00:00,0.49799356115993776,0.2157383042949028,0.2862681345451594,H,0.55,O,1,1,TIMED,,,,,,,,,,
564640,PD,2026,2,2026-08-24T19:30:00Z,Málaga CF,RC Deportivo La Coruña,dc-v1,2026-08-16T16:10:10.516478+00:00,0.47409793250690474,0.2614307795164294,0.2644712879766659,H,0.4404045094970057,U,1,0,TIMED,,,,,,,,,,
564640,PD,2026,2,2026-08-24T19:30:00Z,Málaga CF,RC Deportivo La Coruña,elo-v1,2026-08-16T14:24:23.643273+00:00,0.4932498940511979,0.19843267306626777,0.3083174328825343,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
564637,PD,2026,1,2026-08-25T19:00:00Z,Valencia CF,Real Betis Balompié,dc-v1,2026-08-16T14:24:23.628864+00:00,0.41051477968596223,0.24950748972947562,0.33997773058456204,H,0.5221938364327711,O,1,1,TIMED,,,,,,,,,,
564637,PD,2026,1,2026-08-25T19:00:00Z,Valencia CF,Real Betis Balompié,elo-v1,2026-08-16T14:24:23.643273+00:00,0.42288658908626225,0.22598546195780048,0.35112794895593724,H,0.5026178010471204,O,1,1,TIMED,,,,,,,,,,
564631,PD,2026,1,2026-08-26T19:00:00Z,Real Madrid CF,Real Sociedad de Fútbol,dc-v1,2026-08-19T04:55:33.561628+00:00,0.7709606142437011,0.13554066684345867,0.09349871891284028,H,0.7337466838787183,O,2,0,TIMED,,,,,,,,,,
564631,PD,2026,1,2026-08-26T19:00:00Z,Real Madrid CF,Real Sociedad de Fútbol,elo-v1,2026-08-19T04:55:33.573678+00:00,0.7144751861276865,0.11302023882445744,0.1725045750478561,H,0.5038961038961038,O,1,1,TIMED,,,,,,,,,,
564636,PD,2026,1,2026-08-27T18:30:00Z,RC Celta de Vigo,CA Osasuna,dc-v1,2026-08-19T04:55:33.561628+00:00,0.5644450728047337,0.23806709277147076,0.19748783442379547,H,0.4843313173471047,U,1,0,TIMED,,,,,,,,,,
564636,PD,2026,1,2026-08-27T18:30:00Z,RC Celta de Vigo,CA Osasuna,elo-v1,2026-08-19T04:55:33.573678+00:00,0.601249566790804,0.15783871314530676,0.24091172006388925,H,0.5038961038961038,O,1,1,TIMED,,,,,,,,,,
564630,PD,2026,1,2026-08-27T19:00:00Z,FC Barcelona,Athletic Club,dc-v1,2026-08-19T04:55:33.561628+00:00,0.8618860318667536,0.09283684921290843,0.04527711892033798,H,0.7531171792205753,O,3,0,TIMED,,,,,,,,,,
564630,PD,2026,1,2026-08-27T19:00:00Z,FC Barcelona,Athletic Club,elo-v1,2026-08-19T04:55:33.573678+00:00,0.7787609441411605,0.08757379294412396,0.13366526291471556,H,0.5038961038961038,O,1,1,TIMED,,,,,,,,,,
564654,PD,2026,3,2026-08-28T17:00:00Z,Real Racing Club de Santander,Elche CF,dc-v1,2026-08-19T04:55:33.561628+00:00,0.5905846375065125,0.19233253306975948,0.21708282942372795,H,0.7212797021654368,O,2,1,TIMED,,,,,,,,,,
564654,PD,2026,3,2026-08-28T17:00:00Z,Real Racing Club de Santander,Elche CF,elo-v1,2026-08-19T04:55:33.573678+00:00,0.5412931099585406,0.18157147730807766,0.2771354127333817,H,0.5038961038961038,O,1,1,TIMED,,,,,,,,,,
565776,BL1,2026,1,2026-08-28T18:30:00Z,FC Bayern München,VfB Stuttgart,dc-v1,2026-08-19T04:55:35.000172+00:00,0.7469696984821723,0.12904315477089573,0.12398714674693204,H,0.8726198248623969,O,3,1,TIMED,,,,,,,,,,
565776,BL1,2026,1,2026-08-28T18:30:00Z,FC Bayern München,VfB Stuttgart,elo-v1,2026-08-19T04:55:35.007818+00:00,0.6591395339059628,0.13419703389529022,0.20666343219874697,H,0.6372549019607843,O,1,1,TIMED,,,,,,,,,,
558625,SA,2026,2,2026-08-28T18:45:00Z,AC Milan,Venezia FC,dc-v1,2026-08-19T04:55:34.628187+00:00,0.4466477778678898,0.2818616456587176,0.27149057647339275,H,0.3660210068828741,U,1,0,TIMED,,,,,,,,,,
558625,SA,2026,2,2026-08-28T18:45:00Z,AC Milan,Venezia FC,elo-v1,2026-08-19T04:55:34.637633+00:00,0.5755154519126673,0.1754654290632398,0.2490191190240929,H,0.45789473684210524,U,1,0,TIMED,,,,,,,,,,
559702,FL1,2026,2,2026-08-28T18:45:00Z,Lille OSC,Paris Saint-Germain FC,dc-v1,2026-08-19T04:55:35.345738+00:00,0.2588750105958545,0.30079028140987024,0.4403347079942753,A,0.39705488679772716,U,1,1,TIMED,,,,,,,,,,
559702,FL1,2026,2,2026-08-28T18:45:00Z,Lille OSC,Paris Saint-Germain FC,elo-v1,2026-08-19T04:55:35.353534+00:00,0.41277281511271724,0.23119180507373335,0.3560353798135494,H,0.5261437908496732,O,1,0,TIMED,,,,,,,,,,
560555,PL,2026,2,2026-08-28T19:00:00Z,Crystal Palace FC,Manchester City FC,dc-v1,2026-08-19T04:55:33.994880+00:00,0.14275485429925788,0.2556727695926877,0.6015723761080545,A,0.49876357080078737,U,1,1,TIMED,,,,,,,,,,
560555,PL,2026,2,2026-08-28T19:00:00Z,Crystal Palace FC,Manchester City FC,elo-v1,2026-08-19T04:55:34.004399+00:00,0.28267077066201646,0.2130272474554327,0.5043019818825509,A,0.55,O,1,1,TIMED,,,,,,,,,,
564648,PD,2026,3,2026-08-28T19:30:00Z,Deportivo Alavés,Villarreal CF,dc-v1,2026-08-19T04:55:33.561628+00:00,0.3529410890516229,0.23078995644475214,0.416268954503625,A,0.6319163434988957,O,1,1,TIMED,,,,,,,,,,
564648,PD,2026,3,2026-08-28T19:30:00Z,Deportivo Alavés,Villarreal CF,elo-v1,2026-08-19T04:55:33.573678+00:00,0.3563086002125928,0.23344356565652633,0.41024783413088084,A,0.5038961038961038,O,1,1,TIMED,,,,,,,,,,
